Country,Latitude,Longitude,Elevation,Date,Precipitation,Temp Avg,Temp Max,Temp Min
China,30.6,114.05,34,1/22/2020,0.48,42,46,39
China,30.6,114.05,34,1/23/2020,0.13,45,,39
China,30.6,114.05,34,1/24/2020,0.23,43,47,
China,30.6,114.05,34,1/25/2020,0.18,40,45,37
China,30.6,114.05,34,1/26/2020,0.02,38,42,
China,30.6,114.05,34,1/27/2020,0.01,38,41,32
China,30.6,114.05,34,1/28/2020,0,38,47,28
China,30.6,114.05,34,1/29/2020,,42,54,27
China,30.6,114.05,34,1/30/2020,,43,57,28
China,30.6,114.05,34,1/31/2020,,47,57,28
China,30.6,114.05,34,2/1/2020,,50,57,32
China,30.6,114.05,34,2/2/2020,,47,57,37
China,30.6,114.05,34,2/3/2020,,46,57,32
China,30.6,114.05,34,2/4/2020,,47,61,31
China,30.6,114.05,34,2/5/2020,0.37,48,61,33
China,30.6,114.05,34,2/6/2020,0.39,40,60,38
China,30.6,114.05,34,2/7/2020,0.03,41,,38
China,30.6,114.05,34,2/8/2020,0,41,49,32
China,30.6,114.05,34,2/9/2020,,47,58,30
China,30.6,114.05,34,2/10/2020,0.02,49,58,37
China,30.6,114.05,34,2/11/2020,,51,,46
China,30.6,114.05,34,2/12/2020,,52,57,39
China,30.6,114.05,34,2/13/2020,,59,66,39
China,30.6,114.05,34,2/14/2020,0.8,52,66,
China,30.6,114.05,34,2/15/2020,0.73,33,62,30
China,30.6,114.05,34,2/16/2020,0.19,38,47,29
China,30.6,114.05,34,2/17/2020,0,43,55,27
China,30.6,114.05,34,2/18/2020,,50,,27
China,30.6,114.05,34,2/19/2020,,49,59,33
China,30.6,114.05,34,2/20/2020,0,54,64,33
China,30.6,114.05,34,2/21/2020,0.01,51,64,38
China,30.6,114.05,34,2/22/2020,0,56,64,37
China,30.6,114.05,34,2/23/2020,,62,68,51
China,30.6,114.05,34,2/24/2020,0,67,77,51
China,30.6,114.05,34,2/25/2020,1.43,59,77,
China,30.6,114.05,34,2/26/2020,0.06,54,73,
China,30.6,114.05,34,2/27/2020,0.02,47,58,
China,30.6,114.05,34,2/28/2020,0.37,43,52,
China,30.6,114.05,34,2/29/2020,0.08,48,56,39
China,30.6,114.05,34,3/1/2020,0,50,57,39
China,30.6,114.05,34,3/2/2020,0.04,46,57,40
Togo,10.367,0.467,146,1/22/2020,,87,101,76
Togo,10.367,0.467,146,1/23/2020,,87,100,76
Togo,10.367,0.467,146,1/24/2020,,85,100,71
Togo,10.367,0.467,146,1/25/2020,,84,99,70
Togo,10.367,0.467,146,1/26/2020,,83,99,67
Togo,10.367,0.467,146,1/27/2020,,82,96,70
Togo,10.367,0.467,146,1/28/2020,,81,99,69
Togo,10.367,0.467,146,1/29/2020,,85,101,71
Togo,10.367,0.467,146,1/30/2020,,85,103,69
Togo,10.367,0.467,146,1/31/2020,,85,101,69
Togo,10.367,0.467,146,2/1/2020,,84,100,69
Togo,10.367,0.467,146,2/2/2020,,83,98,68
Togo,10.367,0.467,146,2/3/2020,,81,97,67
Togo,10.367,0.467,146,2/4/2020,,81,98,66
Togo,10.367,0.467,146,2/5/2020,,82,98,69
Togo,10.367,0.467,146,2/6/2020,,83,98,68
Togo,10.367,0.467,146,2/7/2020,,83,98,69
Togo,10.367,0.467,146,2/8/2020,,84,99,70
Togo,10.367,0.467,146,2/9/2020,,85,100,72
Togo,10.367,0.467,146,2/10/2020,,85,97,72
Togo,10.367,0.467,146,2/11/2020,,85,97,78
Togo,10.367,0.467,146,2/12/2020,,84,96,73
Togo,10.367,0.467,146,2/13/2020,,84,98,71
Togo,10.367,0.467,146,2/15/2020,,84,101,68
Togo,10.367,0.467,146,2/16/2020,,87,103,71
Togo,10.367,0.467,146,2/17/2020,,87,106,71
Togo,10.367,0.467,146,2/18/2020,,87,102,74
Togo,10.367,0.467,146,2/19/2020,,89,103,75
Togo,10.367,0.467,146,2/20/2020,,88,103,75
Togo,10.367,0.467,146,2/21/2020,,89,105,76
Togo,10.367,0.467,146,2/22/2020,,91,104,78
Togo,10.367,0.467,146,2/23/2020,,92,105,79
Togo,10.367,0.467,146,2/24/2020,,89,102,76
Togo,10.367,0.467,146,2/25/2020,,86,101,73
Togo,10.367,0.467,146,2/26/2020,,86,101,73
Togo,10.367,0.467,146,2/27/2020,,89,103,78
Togo,10.367,0.467,146,2/28/2020,,92,105,80
Togo,10.367,0.467,146,2/29/2020,,92,107,78
Togo,10.367,0.467,146,3/1/2020,,92,108,78
Togo,10.367,0.467,146,3/2/2020,,91,106,78
Slovakia,48.6667,21.2167,230,1/22/2020,,27,,26
Slovakia,48.6667,21.2167,230,1/23/2020,2.36,29,,
Slovakia,48.6667,21.2167,230,1/24/2020,,25,,18
