index,Country
0,Afghanistan
1,Algeria
2,Andorra
3,Argentina
4,Armenia
5,Australia
6,Austria
7,Azerbaijan
8,Bahrain
9,Belarus
10,Belgium
11,Bhutan
12,Bosnia and Herzegovina
13,Brazil
14,Cambodia
15,Cameroon
16,Canada
17,Chile
18,China
19,Colombia
20,Costa Rica
21,Croatia
22,Czech Republic
23,Denmark
24,Dominican Republic
25,Ecuador
26,Egypt
27,Estonia
28,Faroe Islands
29,Finland
30,France
31,Georgia
32,Germany
33,Gibraltar
34,Greece
35,Hong Kong
36,Hungary
37,Iceland
38,India
39,Indonesia
40,Iran
41,Iraq
42,Ireland
43,Israel
44,Italy
45,Japan
46,Jordan
47,Kuwait
48,Latvia
49,Lebanon
50,Liechtenstein
51,Lithuania
52,Luxembourg
53,Macau
54,Malaysia
55,Mexico
56,Monaco
57,Morocco
58,Nepal
59,Netherlands
60,New Zealand
61,Nigeria
62,North Macedonia
63,Norway
64,Oman
65,Others
66,Pakistan
67,Palestine
68,Peru
69,Philippines
70,Poland
71,Portugal
72,Qatar
73,Romania
74,Russia
75,Saint Barthelemy
76,San Marino
77,Saudi Arabia
78,Senegal
79,Serbia
80,Singapore
81,Slovakia
82,Slovenia
83,South Africa
84,South Korea
85,Spain
86,Sri Lanka
87,Sweden
88,Switzerland
89,Taiwan
90,Thailand
91,Togo
92,Tunisia
93,UK
94,US
95,Ukraine
96,United Arab Emirates
97,Vatican City
98,Vietnam
