Key,Country Key,Country,Date,Temp Avg,Temp Min,Temp Max,Precipitation
0,0,Afghanistan,01/2020,42.0,29.0,79.0,2.2
1,0,Afghanistan,02/2020,51.38,29.0,79.0,2.2
2,0,Afghanistan,03/2020,60.0,29.0,79.0,2.2
3,1,Algeria,01/2020,44.3,26.0,,0.09
4,1,Algeria,02/2020,49.17,26.0,,0.09
5,1,Algeria,03/2020,52.0,26.0,,0.09
6,2,Argentina,01/2020,74.5,41.0,96.0,1.58
7,2,Argentina,02/2020,68.28,41.0,96.0,1.58
8,2,Argentina,03/2020,74.0,41.0,96.0,1.58
9,3,Armenia,01/2020,17.4,-8.0,45.0,0.69
10,3,Armenia,02/2020,24.57,-8.0,45.0,0.69
11,3,Armenia,03/2020,33.5,-8.0,45.0,0.69
12,4,Australia,01/2020,80.4,64.0,111.0,14.94
13,4,Australia,02/2020,73.79,64.0,111.0,14.94
14,4,Australia,03/2020,77.5,64.0,111.0,14.94
15,5,Austria,01/2020,33.1,17.0,54.0,2.06
16,5,Austria,02/2020,38.62,17.0,54.0,2.06
17,5,Austria,03/2020,43.5,17.0,54.0,2.06
18,6,Azerbaijan,01/2020,42.4,24.0,81.0,11.97
19,6,Azerbaijan,02/2020,46.0,24.0,81.0,11.97
20,6,Azerbaijan,03/2020,43.5,24.0,81.0,11.97
21,7,Bahrain,01/2020,61.5,50.0,,0.4
22,7,Bahrain,02/2020,66.34,50.0,,0.4
23,7,Bahrain,03/2020,69.5,50.0,,0.4
24,8,Belarus,01/2020,33.0,15.0,48.0,2.1
25,8,Belarus,02/2020,33.41,15.0,48.0,2.1
26,8,Belarus,03/2020,38.5,15.0,48.0,2.1
27,9,Belgium,01/2020,40.9,28.0,62.0,4.37
28,9,Belgium,02/2020,44.69,28.0,62.0,4.37
29,9,Belgium,03/2020,43.0,28.0,62.0,4.37
30,10,Bosnia and Herzegovina,01/2020,50.5,38.0,67.0,2.57
31,10,Bosnia and Herzegovina,02/2020,52.1,38.0,67.0,2.57
32,10,Bosnia and Herzegovina,03/2020,57.0,38.0,67.0,2.57
33,11,Brazil,01/2020,79.5,69.0,100.0,11.94
34,11,Brazil,02/2020,78.97,69.0,100.0,11.94
35,11,Brazil,03/2020,72.0,69.0,100.0,11.94
36,12,Cambodia,01/2020,82.1,71.0,,0.0
37,12,Cambodia,02/2020,84.07,71.0,,0.0
38,12,Cambodia,03/2020,86.5,71.0,,0.0
39,13,Cameroon,01/2020,83.3,70.0,97.0,1.18
40,13,Cameroon,02/2020,84.41,70.0,97.0,1.18
41,13,Cameroon,03/2020,84.0,70.0,97.0,1.18
42,14,Canada,01/2020,33.9,-1.0,52.0,0.78
43,14,Canada,02/2020,26.14,-1.0,52.0,0.78
44,14,Canada,03/2020,33.0,-1.0,52.0,0.78
45,15,Chile,01/2020,63.8,48.0,81.0,0.17
46,15,Chile,02/2020,62.38,48.0,81.0,0.17
47,15,Chile,03/2020,59.0,48.0,81.0,0.17
48,16,China,01/2020,41.6,27.0,77.0,5.59
49,16,China,02/2020,49.1,27.0,77.0,5.59
50,16,China,03/2020,48.0,27.0,77.0,5.59
