index,Country Key,Country,Date,Precipitation,Temp Avg,Temp Max,Temp Min
0,0,Afghanistan,1/22/2020,,43.0,55.0,34.0
1,0,Afghanistan,1/23/2020,,42.0,56.0,33.0
2,0,Afghanistan,1/24/2020,0.17,40.0,43.0,37.0
3,0,Afghanistan,1/25/2020,0.57,46.0,56.0,38.0
4,0,Afghanistan,1/26/2020,0.0,43.0,53.0,36.0
5,0,Afghanistan,1/27/2020,0.04,43.0,51.0,36.0
6,0,Afghanistan,1/28/2020,0.0,42.0,,35.0
7,0,Afghanistan,1/29/2020,,40.0,50.0,33.0
8,0,Afghanistan,1/30/2020,,40.0,54.0,31.0
9,0,Afghanistan,1/31/2020,,41.0,53.0,31.0
10,0,Afghanistan,2/1/2020,,43.0,56.0,32.0
19,0,Afghanistan,2/10/2020,,53.0,65.0,43.0
20,0,Afghanistan,2/11/2020,0.36,49.0,52.0,46.0
21,0,Afghanistan,2/12/2020,0.52,51.0,54.0,47.0
22,0,Afghanistan,2/13/2020,0.54,47.0,55.0,36.0
23,0,Afghanistan,2/14/2020,0.0,47.0,60.0,34.0
24,0,Afghanistan,2/15/2020,,50.0,63.0,37.0
25,0,Afghanistan,2/16/2020,,49.0,60.0,39.0
26,0,Afghanistan,2/17/2020,,53.0,66.0,39.0
27,0,Afghanistan,2/18/2020,,53.0,69.0,40.0
28,0,Afghanistan,2/19/2020,,49.0,60.0,40.0
11,0,Afghanistan,2/2/2020,,46.0,62.0,34.0
29,0,Afghanistan,2/20/2020,,51.0,62.0,36.0
30,0,Afghanistan,2/21/2020,,59.0,74.0,46.0
31,0,Afghanistan,2/22/2020,,60.0,75.0,48.0
32,0,Afghanistan,2/23/2020,,62.0,77.0,48.0
33,0,Afghanistan,2/24/2020,,61.0,74.0,50.0
34,0,Afghanistan,2/25/2020,,59.0,72.0,46.0
35,0,Afghanistan,2/26/2020,,64.0,78.0,48.0
36,0,Afghanistan,2/27/2020,,64.0,79.0,47.0
37,0,Afghanistan,2/28/2020,,51.0,61.0,43.0
38,0,Afghanistan,2/29/2020,,55.0,67.0,42.0
12,0,Afghanistan,2/3/2020,,44.0,56.0,35.0
13,0,Afghanistan,2/4/2020,,42.0,53.0,32.0
14,0,Afghanistan,2/5/2020,,42.0,57.0,31.0
15,0,Afghanistan,2/6/2020,,43.0,58.0,29.0
16,0,Afghanistan,2/7/2020,,44.0,60.0,32.0
17,0,Afghanistan,2/8/2020,,48.0,63.0,35.0
18,0,Afghanistan,2/9/2020,,51.0,66.0,38.0
39,0,Afghanistan,3/1/2020,,59.0,73.0,46.0
40,0,Afghanistan,3/2/2020,,61.0,75.0,46.0
41,1,Algeria,1/22/2020,0.0,40.0,,31.0
42,1,Algeria,1/23/2020,0.02,41.0,,
43,1,Algeria,1/24/2020,0.0,43.0,,35.0
44,1,Algeria,1/25/2020,0.0,48.0,,36.0
45,1,Algeria,1/26/2020,0.04,44.0,,41.0
46,1,Algeria,1/27/2020,0.03,41.0,,33.0
47,1,Algeria,1/28/2020,0.0,44.0,,32.0
48,1,Algeria,1/29/2020,0.0,47.0,,34.0
49,1,Algeria,1/30/2020,0.0,47.0,,37.0
50,1,Algeria,1/31/2020,0.0,48.0,,34.0
51,1,Algeria,2/1/2020,0.0,48.0,,38.0
60,1,Algeria,2/10/2020,0.0,48.0,,34.0
61,1,Algeria,2/11/2020,0.0,51.0,,36.0
62,1,Algeria,2/12/2020,0.0,47.0,,35.0
63,1,Algeria,2/13/2020,0.0,49.0,,36.0
64,1,Algeria,2/14/2020,0.0,48.0,,
65,1,Algeria,2/15/2020,0.0,51.0,,36.0
66,1,Algeria,2/16/2020,0.0,51.0,,36.0
67,1,Algeria,2/17/2020,0.0,51.0,,35.0
68,1,Algeria,2/18/2020,0.0,48.0,,33.0
69,1,Algeria,2/19/2020,0.0,45.0,,33.0
52,1,Algeria,2/2/2020,0.0,48.0,,36.0
70,1,Algeria,2/20/2020,0.0,49.0,,33.0
71,1,Algeria,2/21/2020,0.0,50.0,,38.0
72,1,Algeria,2/22/2020,0.0,49.0,,
73,1,Algeria,2/23/2020,0.0,50.0,,
74,1,Algeria,2/24/2020,0.0,52.0,,30.0
75,1,Algeria,2/25/2020,0.0,51.0,,38.0
76,1,Algeria,2/26/2020,0.0,49.0,,38.0
77,1,Algeria,2/27/2020,0.0,49.0,,
78,1,Algeria,2/28/2020,0.0,51.0,,30.0
79,1,Algeria,2/29/2020,0.0,56.0,,44.0
53,1,Algeria,2/3/2020,0.0,51.0,,37.0
54,1,Algeria,2/4/2020,0.0,55.0,,38.0
55,1,Algeria,2/5/2020,0.0,46.0,,34.0
56,1,Algeria,2/6/2020,0.0,41.0,,26.0
57,1,Algeria,2/7/2020,0.0,47.0,,
58,1,Algeria,2/8/2020,0.0,47.0,,37.0
59,1,Algeria,2/9/2020,0.0,48.0,,
80,1,Algeria,3/1/2020,0.0,52.0,,42.0
81,1,Algeria,3/2/2020,0.0,52.0,,43.0
82,3,Argentina,1/22/2020,0.2,75.0,88.0,59.0
83,3,Argentina,1/23/2020,0.0,80.0,,62.0
84,3,Argentina,1/24/2020,,78.0,96.0,59.0
85,3,Argentina,1/25/2020,,78.0,91.0,57.0
86,3,Argentina,1/26/2020,,80.0,92.0,58.0
87,3,Argentina,1/27/2020,,75.0,90.0,59.0
88,3,Argentina,1/28/2020,,76.0,,56.0
89,3,Argentina,1/29/2020,0.31,66.0,91.0,49.0
90,3,Argentina,1/30/2020,0.0,58.0,78.0,50.0
91,3,Argentina,1/31/2020,,79.0,,
92,3,Argentina,2/1/2020,,76.0,,55.0
101,3,Argentina,2/10/2020,0.0,64.0,73.0,56.0
102,3,Argentina,2/11/2020,,69.0,,57.0
103,3,Argentina,2/12/2020,,72.0,,59.0
104,3,Argentina,2/13/2020,,65.0,85.0,51.0
105,3,Argentina,2/14/2020,,68.0,,47.0
106,3,Argentina,2/15/2020,,76.0,,53.0
107,3,Argentina,2/16/2020,,74.0,92.0,53.0
108,3,Argentina,2/17/2020,,72.0,87.0,55.0
109,3,Argentina,2/18/2020,,59.0,83.0,46.0
110,3,Argentina,2/19/2020,,71.0,,52.0
93,3,Argentina,2/2/2020,,72.0,91.0,61.0
111,3,Argentina,2/20/2020,,64.0,87.0,48.0
